"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
56.35906,-163.9636,"E-07",31,2000,"06/12/2000 06:41:47",5.965913,2.029222,"Red King Crab","Paralithodes camtschaticus",69322,86,1.9,6.2,88,200001,61
56.65514,-163.9283,"F-07",31,2000,"06/12/2000 09:50:31",1.984864,0.862984,"Red King Crab","Paralithodes camtschaticus",69322,74,1.6,6.3,88,200001,62
59.62907,-165.9371,"O-04",20,2000,"06/14/2000 06:21:33",0.100168,0.500838,"Red King Crab","Paralithodes camtschaticus",69322,27,4.4,4.3,89,200001,63
56.98973,-163.8802,"G-07",31,2000,"06/12/2000 12:49:41",0.164831,0.206038,"Red King Crab","Paralithodes camtschaticus",69322,67,1.4,4.9,88,200001,63
59.34602,-165.948,"N-04",20,2000,"06/14/2000 08:31:04",0.122668,0.240525,"Red King Crab","Paralithodes camtschaticus",69322,26,3.7,3.9,89,200001,64
57.66984,-163.9193,"I-07",10,2000,"06/13/2000 06:24:46",0.100498,0.233716,"Red King Crab","Paralithodes camtschaticus",69322,51,2.6,3.2,88,200001,65
58.32075,-164.0086,"K-07",10,2000,"06/13/2000 11:25:05",0.952562,0.439983,"Red King Crab","Paralithodes camtschaticus",69322,41,2.7,3.3,88,200001,67
58.6456,-164.0097,"L-07",10,2000,"06/13/2000 13:50:36",0.775358,0.229396,"Red King Crab","Paralithodes camtschaticus",69322,34,3,3.6,88,200001,68
58.98987,-164.009,"M-07",10,2000,"06/13/2000 16:21:17",0.873401,0.454896,"Red King Crab","Paralithodes camtschaticus",69322,26,3.9,4.9,88,200001,69
59.33527,-165.305,"N-05",20,2000,"06/14/2000 08:45:13",0.531341,0.468142,"Red King Crab","Paralithodes camtschaticus",69322,22,4.2,4.7,88,200001,71
58.99047,-167.2395,"M-02",20,2000,"06/17/2000 14:00:49",0.163237,0.22609,"Red King Crab","Paralithodes camtschaticus",69322,37,2.4,3.1,89,200001,82
59.32323,-167.2734,"N-02",20,2000,"06/17/2000 16:24:44",0.493513,0.707038,"Red King Crab","Paralithodes camtschaticus",69322,30,3,4,89,200001,83
60.34573,-168.6873,"Q-18",20,2000,"06/18/2000 06:22:53",1.502254,0.90908,"Red King Crab","Paralithodes camtschaticus",69322,37,2.8,3.6,89,200001,85
59.67789,-168.6143,"O-18",20,2000,"06/18/2000 11:11:05",0.648687,0.216229,"Red King Crab","Paralithodes camtschaticus",69322,40,2.4,3,89,200001,87
58.99232,-166.5885,"M-03",20,2000,"06/17/2000 11:18:23",0.831608,0.447101,"Red King Crab","Paralithodes camtschaticus",69322,34,3.1,3.8,88,200001,89
59.66544,-167.951,"O-01",20,2000,"06/18/2000 11:55:22",0.467966,0.212712,"Red King Crab","Paralithodes camtschaticus",69322,36,2.6,3.4,88,200001,94
56.98547,-169.5488,"G-20",42,2000,"06/23/2000 13:49:11",15.780441,7.708836,"Red King Crab","Paralithodes camtschaticus",69322,60,3,7,89,200001,103
57.32528,-169.5996,"H-20",42,2000,"06/23/2000 18:17:30",11.838478,7.371128,"Red King Crab","Paralithodes camtschaticus",69322,61,NA,6.6,89,200001,105
57.48946,-169.3662,"IH2019",42,2000,"06/24/2000 06:20:49",0.720975,0.212051,"Red King Crab","Paralithodes camtschaticus",69322,70,NA,6.5,89,200001,106
57.51205,-170.5879,"IH2221",42,2000,"06/28/2000 10:47:11",0.969567,0.206291,"Red King Crab","Paralithodes camtschaticus",69322,74,3.1,9,89,200001,125
57.34484,-170.8516,"H-22",42,2000,"06/28/2000 12:46:34",1.86257,0.673218,"Red King Crab","Paralithodes camtschaticus",69322,82,3.1,8.8,89,200001,126
57.00852,-170.7762,"G-22",42,2000,"06/28/2000 17:05:00",0.419029,0.207235,"Red King Crab","Paralithodes camtschaticus",69322,94,3.1,9.2,89,200001,127
57.84075,-169.9467,"JI2120",42,2000,"06/28/2000 06:37:48",1.813918,0.572816,"Red King Crab","Paralithodes camtschaticus",69322,72,3,9.1,88,200001,134
57.67984,-170.2404,"I-21",42,2000,"06/28/2000 08:21:32",3.972208,1.228518,"Red King Crab","Paralithodes camtschaticus",69322,72,2.8,8.9,88,200001,135
57.51243,-170.0122,"IH2120",42,2000,"06/28/2000 10:24:05",11.221693,5.716711,"Red King Crab","Paralithodes camtschaticus",69322,68,3.1,9.3,88,200001,136
57.3516,-170.1825,"H-21",42,2000,"06/28/2000 12:13:13",0.424988,0.205308,"Red King Crab","Paralithodes camtschaticus",69322,55,4.2,8.7,88,200001,137
57.16788,-169.8889,"HG2120",42,2000,"06/28/2000 14:31:16",7.343741,2.336645,"Red King Crab","Paralithodes camtschaticus",69322,50,4.6,9.4,88,200001,138
57.00374,-170.1581,"G-21",42,2000,"06/28/2000 16:22:26",2.29239,0.790479,"Red King Crab","Paralithodes camtschaticus",69322,70,3.5,8.8,88,200001,139
56.84764,-169.875,"GF2120",42,2000,"06/29/2000 06:34:13",1.034168,0.413667,"Red King Crab","Paralithodes camtschaticus",69322,72,3.6,8.5,88,200001,140
58.00667,-158.9243,"J-15",10,1982,"05/31/1982 08:00:00",0.092131,2.60747,"Red King Crab","Paralithodes camtschaticus",69322,40,-0.2,-0.9,19,198201,1
57.68067,-159.0187,"I-15",10,1982,"05/31/1982 11:00:00",0.322538,0.533414,"Red King Crab","Paralithodes camtschaticus",69322,48,-0.4,0,19,198201,2
57.33917,-159.0873,"H-15",10,1982,"05/31/1982 15:00:00",4.88441,12.730145,"Red King Crab","Paralithodes camtschaticus",69322,46,0.6,1.3,19,198201,3
57.00467,-159.0963,"G-15",10,1982,"05/31/1982 19:00:00",1.750202,1.991412,"Red King Crab","Paralithodes camtschaticus",69322,29,0.3,0.7,19,198201,5
56.67067,-160.3497,"F-13",31,1982,"06/01/1982 08:00:00",55.198379,210.802001,"Red King Crab","Paralithodes camtschaticus",69322,59,0.4,0.7,19,198201,6
56.982,-160.3347,"G-13",31,1982,"06/01/1982 11:00:00",5.843254,7.729172,"Red King Crab","Paralithodes camtschaticus",69322,62,0.2,0.4,19,198201,7
57.31517,-160.2978,"H-13",31,1982,"06/01/1982 14:00:00",5.460592,6.750639,"Red King Crab","Paralithodes camtschaticus",69322,60,0.1,0.2,19,198201,8
57.64467,-160.2607,"I-13",31,1982,"06/01/1982 17:00:00",5.372575,6.877385,"Red King Crab","Paralithodes camtschaticus",69322,53,0.9,0.5,19,198201,9
57.986,-160.2033,"J-13",10,1982,"06/01/1982 20:00:00",3.320897,6.195004,"Red King Crab","Paralithodes camtschaticus",69322,49,1.2,1.1,19,198201,10
56.31817,-161.6365,"E-11",10,1982,"06/13/1982 17:00:00",159.76019,488.789078,"Red King Crab","Paralithodes camtschaticus",69322,64,NA,7.5,19,198201,12
56.65617,-161.5812,"F-11",31,1982,"06/13/1982 19:00:00",2.881084,9.41817,"Red King Crab","Paralithodes camtschaticus",69322,88,2.2,6.3,19,198201,13
56.98617,-161.5835,"G-11",31,1982,"06/14/1982 08:00:00",41.511555,47.408857,"Red King Crab","Paralithodes camtschaticus",69322,70,0.7,4.7,19,198201,14
57.33217,-161.5797,"H-11",31,1982,"06/14/1982 15:00:00",92.236356,285.27231,"Red King Crab","Paralithodes camtschaticus",69322,55,0.2,5.5,19,198201,16
57.65217,-161.4828,"I-11",10,1982,"06/14/1982 17:00:00",46.65147,111.703612,"Red King Crab","Paralithodes camtschaticus",69322,53,1.8,3.6,19,198201,17
57.97917,-161.4793,"J-11",10,1982,"06/14/1982 19:00:00",15.094187,17.189549,"Red King Crab","Paralithodes camtschaticus",69322,48,1.8,3.6,19,198201,18
58.2665,-161.402,"K-11",10,1982,"06/14/1982 22:00:00",0.056083,0.247063,"Red King Crab","Paralithodes camtschaticus",69322,38,4.8,5.2,19,198201,19
58.66567,-162.7018,"L-09",10,1982,"06/15/1982 08:00:00",0.154592,0.227341,"Red King Crab","Paralithodes camtschaticus",69322,24,2.6,2.7,19,198201,20
58.3545,-162.7187,"K-09",10,1982,"06/15/1982 10:00:00",4.562466,3.176283,"Red King Crab","Paralithodes camtschaticus",69322,29,2.1,2.1,19,198201,21
58.0275,-162.7485,"J-09",10,1982,"06/15/1982 12:00:00",8.872195,7.522999,"Red King Crab","Paralithodes camtschaticus",69322,38,1.7,2.7,19,198201,22
57.7,-162.7533,"I-09",10,1982,"06/15/1982 15:00:00",23.552541,20.729505,"Red King Crab","Paralithodes camtschaticus",69322,42,0.8,2.8,19,198201,23
57.34417,-162.767,"H-09",10,1982,"06/15/1982 17:00:00",105.645841,106.422271,"Red King Crab","Paralithodes camtschaticus",69322,48,0.7,4.1,19,198201,24
57.01783,-162.7815,"G-09",31,1982,"06/15/1982 20:00:00",25.011383,33.805852,"Red King Crab","Paralithodes camtschaticus",69322,60,-0.5,5.5,19,198201,25
56.68867,-162.786,"F-09",31,1982,"06/16/1982 08:00:00",0.993995,1.460836,"Red King Crab","Paralithodes camtschaticus",69322,71,0.7,6,19,198201,26
56.35433,-162.798,"E-09",31,1982,"06/16/1982 10:00:00",2.317942,3.467515,"Red King Crab","Paralithodes camtschaticus",69322,77,2.7,6.4,19,198201,27
56.02083,-162.8055,"D-09",31,1982,"06/16/1982 13:00:00",2.216524,2.495383,"Red King Crab","Paralithodes camtschaticus",69322,77,3.2,7.1,19,198201,28
55.70167,-162.8247,"C-09",10,1982,"06/16/1982 15:00:00",5.6771,5.794379,"Red King Crab","Paralithodes camtschaticus",69322,51,4.7,7,19,198201,29
55.646,-164.0075,"C-07",31,1982,"06/17/1982 08:00:00",5.65509,5.825905,"Red King Crab","Paralithodes camtschaticus",69322,95,2.1,7,19,198201,31
56.00133,-164.0082,"D-07",31,1982,"06/17/1982 11:00:00",7.978826,13.139801,"Red King Crab","Paralithodes camtschaticus",69322,90,2,8,19,198201,33
56.3145,-163.998,"E-07",31,1982,"06/17/1982 13:00:00",0.538784,0.395873,"Red King Crab","Paralithodes camtschaticus",69322,86,2.3,7,19,198201,34
57.001,-163.9942,"G-07",31,1982,"06/17/1982 18:00:00",3.531675,4.557735,"Red King Crab","Paralithodes camtschaticus",69322,68,-0.2,6.5,19,198201,36
57.31867,-163.9938,"H-07",31,1982,"06/17/1982 20:00:00",5.985198,7.443435,"Red King Crab","Paralithodes camtschaticus",69322,62,-0.9,6.5,19,198201,37
57.65017,-163.992,"I-07",10,1982,"06/18/1982 08:00:00",4.644403,3.868061,"Red King Crab","Paralithodes camtschaticus",69322,51,0.7,6,19,198201,38
57.98117,-164.0007,"J-07",10,1982,"06/18/1982 10:00:00",4.767133,3.72227,"Red King Crab","Paralithodes camtschaticus",69322,46,1.3,4.1,19,198201,39
58.33267,-163.9952,"K-07",10,1982,"06/18/1982 15:00:00",0.57099,1.048843,"Red King Crab","Paralithodes camtschaticus",69322,40,2,4.5,19,198201,41
58.66917,-163.99,"L-07",10,1982,"06/18/1982 17:00:00",0.213437,0.376432,"Red King Crab","Paralithodes camtschaticus",69322,31,2.7,4,19,198201,42
58.9905,-163.9948,"M-07",10,1982,"06/18/1982 20:00:00",0.374797,0.472037,"Red King Crab","Paralithodes camtschaticus",69322,26,4.6,4.4,19,198201,43
59.0155,-165.2988,"M-05",10,1982,"06/19/1982 10:00:00",1.164593,1.116366,"Red King Crab","Paralithodes camtschaticus",69322,26,3.2,3.3,19,198201,46
58.68183,-165.2997,"L-05",10,1982,"06/19/1982 13:00:00",1.82981,0.849297,"Red King Crab","Paralithodes camtschaticus",69322,37,2,5.6,19,198201,47
58.349,-165.2888,"K-05",10,1982,"06/19/1982 15:00:00",1.037521,0.762509,"Red King Crab","Paralithodes camtschaticus",69322,44,1.3,6.3,19,198201,48
58.01533,-165.2468,"J-05",10,1982,"06/19/1982 18:00:00",1.812191,1.645096,"Red King Crab","Paralithodes camtschaticus",69322,49,1.1,6,19,198201,49
57.68283,-165.2493,"I-05",31,1982,"06/19/1982 20:00:00",0.323376,0.203638,"Red King Crab","Paralithodes camtschaticus",69322,60,-0.4,6.3,19,198201,50
57.35033,-165.249,"H-05",31,1982,"06/20/1982 09:00:00",4.517733,3.119981,"Red King Crab","Paralithodes camtschaticus",69322,68,0,5.4,19,198201,51
57.018,-165.2162,"G-05",31,1982,"06/20/1982 12:00:00",0.310585,0.195583,"Red King Crab","Paralithodes camtschaticus",69322,70,0.1,5.3,19,198201,52
58.326,-166.5643,"K-03",10,1982,"06/28/1982 08:00:00",0.355728,0.22401,"Red King Crab","Paralithodes camtschaticus",69322,48,3.3,4.2,19,198201,69
58.65783,-166.5668,"L-03",20,1982,"06/28/1982 10:00:00",0.789397,0.409438,"Red King Crab","Paralithodes camtschaticus",69322,42,3,3.3,19,198201,70
58.97817,-166.5788,"M-03",20,1982,"06/28/1982 12:00:00",0.062328,0.171703,"Red King Crab","Paralithodes camtschaticus",69322,35,3.4,3,19,198201,71
59.00667,-167.8783,"M-01",20,1982,"06/30/1982 08:00:00",0.162351,0.19896,"Red King Crab","Paralithodes camtschaticus",69322,40,3,3.5,19,198201,78
57.68367,-170.2978,"I-21",42,1982,"07/07/1982 09:00:00",0.805832,0.208981,"Red King Crab","Paralithodes camtschaticus",69322,71,3.2,6.9,19,198201,115
57.00233,-170.1805,"G-21",42,1982,"07/08/1982 11:00:00",1.323035,0.933358,"Red King Crab","Paralithodes camtschaticus",69322,66,4.7,5.9,19,198201,118
58.015,-158.3167,"J-16",10,1982,"05/29/1982 07:00:00",0.508423,0.934172,"Red King Crab","Paralithodes camtschaticus",69322,37,0.5,2.3,1,198203,1
57.33833,-158.41,"H-16",10,1982,"05/29/1982 13:00:00",0.775907,0.456147,"Red King Crab","Paralithodes camtschaticus",69322,29,0.5,2.4,1,198203,3
56.685,-159.76,"F-14",10,1982,"05/29/1982 20:00:00",0.764288,0.631643,"Red King Crab","Paralithodes camtschaticus",69322,40,0.7,2.8,1,198203,4
56.99333,-159.7233,"G-14",10,1982,"06/05/1982 10:00:00",2.566831,3.395279,"Red King Crab","Paralithodes camtschaticus",69322,59,0.4,0.8,1,198203,6
57.31667,-159.6633,"H-14",10,1982,"06/05/1982 13:00:00",2.081021,2.173264,"Red King Crab","Paralithodes camtschaticus",69322,59,0.6,1.8,1,198203,7
57.65,-159.6417,"I-14",10,1982,"06/05/1982 16:00:00",7.111145,6.569463,"Red King Crab","Paralithodes camtschaticus",69322,55,0.3,1,1,198203,8
57.99667,-159.605,"J-14",10,1982,"06/06/1982 06:00:00",0.266017,1.642078,"Red King Crab","Paralithodes camtschaticus",69322,44,0,0.9,1,198203,9
58.32167,-159.54,"K-14",10,1982,"06/06/1982 09:00:00",0.107842,0.475077,"Red King Crab","Paralithodes camtschaticus",69322,26,0.8,1.1,1,198203,10
58.00167,-160.8533,"J-12",10,1982,"06/06/1982 17:00:00",6.349492,6.614054,"Red King Crab","Paralithodes camtschaticus",69322,46,1.9,3.7,1,198203,12
57.675,-160.89,"I-12",31,1982,"06/07/1982 06:00:00",15.181866,44.071692,"Red King Crab","Paralithodes camtschaticus",69322,59,0.8,2.1,1,198203,13
57.345,-160.94,"H-12",31,1982,"06/07/1982 09:00:00",7.392522,8.094801,"Red King Crab","Paralithodes camtschaticus",69322,66,0.6,2.4,1,198203,14
57.015,-160.9517,"G-12",31,1982,"06/07/1982 12:00:00",14.021053,14.837331,"Red King Crab","Paralithodes camtschaticus",69322,66,-0.3,3.5,1,198203,15
56.67833,-160.9917,"F-12",31,1982,"06/07/1982 15:00:00",11.551283,11.409206,"Red King Crab","Paralithodes camtschaticus",69322,70,0.8,4.2,1,198203,16
56.34167,-161.0033,"E-12",10,1982,"06/07/1982 18:00:00",8.541652,33.063048,"Red King Crab","Paralithodes camtschaticus",69322,53,2.1,6.3,1,198203,17
56.00167,-162.2317,"D-10",31,1982,"06/08/1982 07:00:00",9.422282,10.117597,"Red King Crab","Paralithodes camtschaticus",69322,73,3,5.8,1,198203,18
56.32333,-162.205,"E-10",31,1982,"06/08/1982 10:00:00",6.290197,7.524931,"Red King Crab","Paralithodes camtschaticus",69322,80,1.7,3.5,1,198203,19
56.65333,-162.1867,"F-10",31,1982,"06/08/1982 13:00:00",7.37275,7.417912,"Red King Crab","Paralithodes camtschaticus",69322,75,0.2,4.3,1,198203,20
56.99333,-162.1733,"G-10",31,1982,"06/08/1982 16:00:00",38.91421,42.598114,"Red King Crab","Paralithodes camtschaticus",69322,62,0.1,3.5,1,198203,21
57.335,-162.1533,"H-10",10,1982,"06/09/1982 07:00:00",43.302959,50.579895,"Red King Crab","Paralithodes camtschaticus",69322,53,0.5,1.6,1,198203,22
57.665,-162.1367,"I-10",10,1982,"06/09/1982 10:00:00",11.163486,10.729069,"Red King Crab","Paralithodes camtschaticus",69322,49,1,2.6,1,198203,23
57.985,-162.13,"J-10",10,1982,"06/09/1982 12:00:00",4.690842,4.569626,"Red King Crab","Paralithodes camtschaticus",69322,40,1.5,2.1,1,198203,24
58.31167,-162.065,"K-10",10,1982,"06/09/1982 15:00:00",1.955727,1.211126,"Red King Crab","Paralithodes camtschaticus",69322,49,1.5,2.3,1,198203,25
58.34333,-163.385,"K-08",10,1982,"06/10/1982 13:00:00",1.789879,1.345268,"Red King Crab","Paralithodes camtschaticus",69322,37,1.1,2,1,198203,28
58.01,-163.3917,"J-08",10,1982,"06/10/1982 16:00:00",3.138244,2.855345,"Red King Crab","Paralithodes camtschaticus",69322,46,0.7,2,1,198203,29
